"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","4,822,023","*****","731,449","*****","6,553,255","*****","2,949,131","*****","38,041,430","*****","5,187,582","*****","3,590,347","*****","917,092","*****","632,323","*****","19,317,568","*****","9,919,945","*****","1,392,313","*****","1,595,728","*****","12,875,255","*****","6,537,334","*****","3,074,186","*****","2,885,905","*****","4,380,415","*****","4,601,893","*****","1,329,192","*****","5,884,563","*****","6,646,144","*****","9,883,360","*****","5,379,139","*****","2,984,926","*****","6,021,988","*****","1,005,141","*****","1,855,525","*****","2,758,931","*****","1,320,718","*****","8,864,590","*****","2,085,538","*****","19,570,261","*****","9,752,073","*****","699,628","*****","11,544,225","*****","3,814,820","*****","3,899,353","*****","12,763,536","*****","1,050,292","*****","4,723,723","*****","833,354","*****","6,456,243","*****","26,059,203","*****","2,855,287","*****","626,011","*****","8,185,867","*****","6,897,012","*****","1,855,413","*****","5,726,398","*****","576,412","*****","3,667,084","*****","313,914,040","*****"
"    White alone","3,333,371","±7,259","486,551","±2,351","5,164,199","±17,980","2,307,951","±5,816","23,628,545","±58,000","4,376,673","±16,745","2,804,972","±10,799","639,294","±3,995","250,657","±4,014","14,742,516","±22,798","5,992,846","±16,084","347,252","±2,786","1,458,371","±6,843","9,358,637","±24,157","5,513,003","±9,610","2,817,947","±5,797","2,468,884","±7,141","3,844,617","±5,968","2,891,506","±6,690","1,264,328","±1,246","3,417,690","±12,404","5,323,896","±12,317","7,840,426","±8,758","4,596,694","±6,789","1,768,736","±4,408","4,981,999","±6,489","896,467","±1,819","1,634,952","±5,242","1,922,203","±12,400","1,241,905","±2,511","6,111,675","±20,981","1,499,853","±13,369","12,767,396","±31,188","6,817,441","±17,870","626,192","±1,217","9,547,022","±7,437","2,805,612","±8,499","3,321,591","±11,013","10,456,819","±12,163","857,897","±6,212","3,165,844","±8,016","711,562","±2,706","5,036,564","±9,580","19,546,170","±48,902","2,514,908","±10,080","595,252","±736","5,661,067","±12,880","5,402,912","±12,547","1,738,148","±2,503","4,967,566","±9,048","523,798","±2,887","2,536,665","±23,266","231,992,377","±113,230"
"    Black or African American alone","1,276,164","±5,768","26,207","±1,482","286,343","±6,487","462,182","±3,398","2,263,723","±17,267","218,292","±5,494","366,350","±6,418","196,950","±2,945","313,224","±2,333","3,105,799","±17,159","3,063,367","±11,970","25,613","±1,698","8,759","±1,444","1,853,436","±9,027","598,171","±6,855","91,660","±3,711","167,414","±4,128","344,584","±6,354","1,483,239","±6,017","13,614","±1,648","1,720,936","±7,404","473,527","±7,935","1,388,360","±7,531","287,165","±5,702","1,123,620","±5,037","691,631","±5,818","3,605","±1,071","85,483","±3,465","227,696","±4,251","16,515","±2,631","1,207,688","±10,732","42,843","±2,442","3,046,610","±15,504","2,107,908","±10,420","10,202","±1,652","1,413,110","±9,120","272,820","±4,079","69,719","±3,737","1,400,003","±11,914","67,840","±4,989","1,307,087","±6,873","13,055","±1,334","1,091,759","±6,706","3,099,425","±15,541","31,797","±3,012","6,411","±776","1,576,258","±9,466","248,631","±6,701","61,306","±3,320","359,317","±4,802","5,720","±1,395","304,289","±11,913","39,623,138","±57,930"
"    American Indian and Alaska Native alone","24,136","±2,598","102,582","±3,525","289,883","±5,051","17,485","±2,017","285,342","±11,914","47,949","±4,392","11,627","±2,463","2,868","±621","2,258","±864","51,471","±4,495","24,166","±4,358","3,153","±797","20,764","±1,963","26,814","±3,838","16,295","±1,918","8,153","±1,445","26,087","±2,761","8,141","±1,423","25,551","±2,421","8,066","±1,074","17,171","±2,528","13,230","±2,280","56,356","±3,027","56,230","±2,170","12,591","±1,367","28,000","±2,718","65,148","±2,263","15,818","±1,796","31,415","±2,513","2,321","±756","21,574","±3,456","192,903","±3,241","73,392","±5,772","113,280","±3,635","37,301","±1,767","21,692","±2,168","278,028","±6,128","47,066","±4,202","21,310","±2,890","4,809","±1,277","15,317","±1,679","73,305","±2,504","17,594","±3,153","126,041","±8,463","31,448","±2,746","2,165","±670","23,022","±3,007","95,015","±4,437","2,636","±836","52,161","±2,611","12,375","±1,899","13,043","±3,101","2,563,505","±26,160"
"    Asian alone","58,679","±2,991","42,790","±2,209","190,390","±4,062","39,448","±1,924","5,120,354","±18,065","147,082","±4,322","147,830","±2,290","30,632","±1,597","21,858","±1,613","488,052","±7,850","337,015","±6,051","531,663","±10,568","20,613","±2,789","617,924","±6,059","107,736","±3,733","56,519","±2,205","71,821","±2,664","55,397","±3,007","72,216","±2,464","14,414","±1,392","339,527","±4,265","381,262","±3,962","248,093","±4,128","226,902","±3,537","23,923","±2,452","102,180","±3,291","6,442","±1,141","36,670","±1,809","207,736","±5,128","29,743","±1,915","775,176","±5,882","27,714","±1,774","1,498,346","±8,087","227,727","±4,278","6,737","±846","200,878","±4,341","70,527","±2,386","149,455","±4,172","368,996","±5,227","33,814","±1,441","59,956","±2,302","9,537","±1,227","96,086","±3,063","1,052,002","±8,660","62,575","±2,843","8,234","±770","469,669","±6,255","509,565","±6,656","12,173","±1,232","135,815","±3,419","5,637","±1,103","13,723","±2,991","15,555,530","±32,545"
"    Native Hawaiian and Other Pacific Islander alone","1,358","±671","8,231","±982","12,037","±1,880","5,221","±406","146,712","±4,467","5,308","±1,301","2,261","±1,568","144","±112","54","±90","11,609","±3,423","2,882","±896","145,408","±5,729","1,686","±614","4,231","±1,586","2,824","±1,681","2,260","±754","2,263","±1,453","2,149","±1,098","2,209","±1,073","156","±139","2,637","±1,113","900","±612","1,829","±680","2,336","±1,001","399","±306","4,480","±1,370","1,183","±786","1,227","±1,206","18,441","±1,715","191","±193","2,606","±1,623","1,431","±707","7,456","±2,870","5,568","±2,118","1,190","±1,072","4,101","±1,494","3,925","±504","16,415","±2,030","7,135","±3,790","201","±203","1,738","±950","460","±404","2,618","±781","21,938","±2,767","25,765","±2,742","0","±143","5,008","±1,689","41,156","±2,910","717","±669","1,066","±525","78","±85","120","±187","543,198","±14,210"
"    Some other race alone","52,468","±6,702","6,796","±1,596","420,902","±17,783","58,865","±5,169","4,912,894","±55,894","219,565","±13,256","163,423","±10,914","23,251","±4,014","28,401","±4,268","459,361","±23,271","297,813","±14,511","15,499","±2,568","46,011","±6,380","731,378","±24,796","157,490","±9,515","37,670","±4,870","57,943","±7,162","38,316","±5,055","48,697","±6,896","2,509","±768","202,979","±13,193","269,542","±11,807","93,952","±7,702","73,363","±6,581","22,805","±4,018","70,872","±6,403","6,526","±1,447","42,754","±4,948","236,992","±12,600","5,827","±1,656","523,067","±19,197","255,095","±13,686","1,644,049","±29,249","255,939","±15,642","3,916","±1,115","91,448","±6,750","89,408","±6,788","138,756","±10,034","245,676","±11,949","56,524","±5,934","79,046","±7,125","7,755","±1,940","93,258","±9,911","1,599,204","±48,872","119,195","±9,169","1,349","±566","187,150","±12,235","255,271","±11,767","4,404","±1,681","96,143","±8,869","11,161","±2,503","351,940","±16,069","14,562,678","±120,810"
"    Two or more races:","75,847","±5,611","58,292","±4,084","189,501","±9,832","57,979","±4,583","1,683,860","±31,751","172,713","±8,702","93,884","±5,950","23,953","±3,638","15,871","±2,753","458,760","±15,562","201,856","±12,310","323,725","±12,485","39,524","±3,855","282,835","±11,522","141,815","±7,369","59,977","±4,965","91,493","±6,249","87,211","±6,226","78,475","±6,207","26,105","±2,308","183,623","±9,129","183,787","±8,728","254,344","±9,914","136,449","±7,404","32,852","±3,494","142,826","±6,904","25,770","±2,632","38,621","±3,717","114,448","±7,240","24,216","±2,909","222,804","±11,528","65,699","±5,452","533,012","±16,272","224,210","±10,676","14,090","±2,192","265,974","±10,063","294,500","±8,492","156,351","±7,736","263,597","±11,268","29,207","±2,898","94,735","±6,321","17,680","±2,662","118,364","±6,767","614,423","±18,874","69,599","±5,864","12,600","±1,181","263,693","±11,484","344,462","±11,290","36,029","±3,474","114,330","±6,266","17,643","±2,317","447,304","±15,458","9,073,614","±79,997"
"        Two races including Some other race","6,136","±1,776","2,478","±928","42,041","±5,088","4,521","±1,422","393,132","±13,434","39,720","±4,516","21,036","±3,723","3,025","±1,398","2,654","±1,205","88,853","±7,792","26,207","±4,169","11,152","±2,637","3,104","±1,246","57,393","±5,553","18,225","±2,671","5,913","±1,645","10,045","±2,175","7,438","±1,693","6,831","±1,587","1,208","±548","22,876","±3,429","35,327","±4,607","25,717","±2,533","10,918","±2,010","1,765","±755","14,350","±3,135","1,388","±741","3,539","±986","19,284","±3,133","2,382","±1,157","56,325","±5,116","24,815","±3,388","156,134","±9,565","30,066","±4,578","1,478","±809","23,696","±2,626","12,596","±1,758","16,230","±3,513","37,188","±4,268","6,041","±1,373","11,070","±2,455","1,669","±1,236","11,944","±2,285","144,885","±9,980","10,700","±2,045","746","±298","33,365","±4,998","35,314","±4,689","1,399","±629","15,255","±2,553","1,714","±1,022","17,573","±2,423","1,521,288","±34,724"
"        Two races excluding Some other race, and three or more races","69,711","±5,542","55,814","±4,094","147,460","±8,408","53,458","±4,225","1,290,728","±28,801","132,993","±7,339","72,848","±5,801","20,928","±3,553","13,217","±2,357","369,907","±13,672","175,649","±12,350","312,573","±12,565","36,420","±3,761","225,442","±9,948","123,590","±7,302","54,064","±4,518","81,448","±5,267","79,773","±5,989","71,644","±6,082","24,897","±2,383","160,747","±8,668","148,460","±7,603","228,627","±9,352","125,531","±7,020","31,087","±3,379","128,476","±6,279","24,382","±2,388","35,082","±3,717","95,164","±6,780","21,834","±2,590","166,479","±10,925","40,884","±4,738","376,878","±12,320","194,144","±9,174","12,612","±2,120","242,278","±9,659","281,904","±8,404","140,121","±6,741","226,409","±11,092","23,166","±2,719","83,665","±6,574","16,011","±2,269","106,420","±6,233","469,538","±14,766","58,899","±5,337","11,854","±1,151","230,328","±10,514","309,148","±11,227","34,630","±3,359","99,075","±5,923","15,929","±2,135","429,731","±14,989","7,552,326","±65,626"
