"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","4,887,871","*****","737,438","*****","7,171,646","*****","3,013,825","*****","39,557,045","*****","5,695,564","*****","3,572,665","*****","967,171","*****","702,455","*****","21,299,325","*****","10,519,475","*****","1,420,491","*****","1,754,208","*****","12,741,080","*****","6,691,878","*****","3,156,145","*****","2,911,510","*****","4,468,402","*****","4,659,978","*****","1,338,404","*****","6,042,718","*****","6,902,149","*****","9,995,915","*****","5,611,179","*****","2,986,530","*****","6,126,452","*****","1,062,305","*****","1,929,268","*****","3,034,392","*****","1,356,458","*****","8,908,520","*****","2,095,428","*****","19,542,209","*****","10,383,620","*****","760,077","*****","11,689,442","*****","3,943,079","*****","4,190,713","*****","12,807,060","*****","1,057,315","*****","5,084,127","*****","882,235","*****","6,770,010","*****","28,701,845","*****","3,161,105","*****","626,299","*****","8,517,685","*****","7,535,591","*****","1,805,832","*****","5,813,568","*****","577,737","*****","3,195,153","*****","327,167,439","*****"
"    White alone","3,306,838","±7,059","474,555","±3,233","5,590,505","±22,425","2,306,096","±6,922","23,535,388","±66,698","4,790,677","±16,307","2,688,136","±12,828","659,781","±4,626","296,747","±4,449","15,899,574","±36,490","6,127,645","±17,468","345,652","±4,853","1,576,846","±8,264","9,135,145","±26,772","5,539,927","±11,682","2,846,099","±5,629","2,446,823","±8,485","3,875,023","±6,230","2,877,115","±7,740","1,261,453","±1,633","3,305,047","±13,606","5,335,175","±17,166","7,825,285","±9,602","4,629,375","±8,116","1,735,455","±3,704","5,035,197","±7,994","941,438","±2,221","1,666,990","±5,467","1,924,976","±16,699","1,253,931","±3,132","5,956,539","±22,413","1,599,938","±12,680","12,375,601","±34,083","7,098,569","±17,927","651,687","±2,325","9,470,940","±10,859","2,845,906","±8,621","3,514,983","±11,797","10,256,084","±17,296","852,805","±9,123","3,407,706","±8,711","740,870","±2,352","5,235,588","±10,176","21,099,066","±40,621","2,708,195","±10,034","589,337","±1,241","5,737,580","±15,329","5,633,263","±17,384","1,679,773","±2,458","4,957,243","±8,755","528,453","±2,729","2,079,304","±22,148","236,173,020","±122,398"
"    Black or African American alone","1,307,040","±7,036","25,197","±1,976","336,340","±7,735","456,714","±6,073","2,283,850","±14,690","237,578","±6,469","391,552","±6,600","217,594","±3,408","319,777","±4,282","3,410,741","±19,720","3,319,691","±14,563","28,325","±1,615","12,075","±3,292","1,793,079","±10,015","637,277","±7,405","115,137","±4,782","171,141","±6,032","354,761","±6,583","1,509,407","±8,957","18,954","±1,759","1,810,885","±9,157","537,523","±9,047","1,376,751","±8,453","367,653","±5,713","1,135,599","±6,445","704,327","±6,416","5,056","±999","91,221","±3,894","280,385","±7,032","23,432","±2,654","1,207,995","±12,788","46,064","±3,269","3,069,259","±17,064","2,222,533","±13,581","25,896","±1,992","1,446,306","±12,633","287,680","±5,620","82,046","±3,979","1,428,406","±12,545","70,749","±3,938","1,353,599","±9,419","19,057","±2,158","1,137,801","±10,728","3,527,027","±21,372","40,365","±3,450","7,621","±1,306","1,631,512","±12,981","291,808","±8,442","68,679","±2,800","370,632","±6,232","3,667","±1,164","400,936","±17,309","41,617,764","±69,606"
"    American Indian and Alaska Native alone","22,063","±2,712","111,371","±3,747","330,599","±8,933","20,951","±2,557","302,792","±11,731","55,146","±4,414","9,507","±2,116","4,397","±1,388","1,932","±589","59,870","±6,097","34,485","±5,808","3,237","±935","23,026","±2,838","35,846","±4,591","14,040","±2,057","11,494","±1,274","26,829","±2,776","8,470","±2,041","25,657","±3,334","8,566","±1,165","13,433","±2,118","16,198","±3,481","53,012","±3,871","60,983","±3,622","13,234","±1,602","27,705","±3,183","68,013","±2,885","18,555","±3,043","44,666","±3,794","3,562","±1,387","21,131","±4,530","200,659","±4,124","84,312","±6,183","120,845","±4,394","41,270","±2,276","25,672","±3,171","307,183","±5,707","49,051","±4,039","21,418","±2,246","4,341","±1,447","23,672","±4,704","78,068","±2,871","19,136","±2,676","149,997","±12,706","34,678","±3,615","1,743","±729","22,265","±3,362","97,329","±6,465","2,629","±839","50,364","±2,531","16,185","±1,713","4,013","±1,404","2,801,587","±34,389"
"    Asian alone","65,095","±3,494","46,381","±2,635","237,873","±5,191","47,548","±2,631","5,821,585","±21,930","180,277","±5,175","165,855","±2,587","39,023","±1,595","27,538","±1,377","593,634","±8,233","436,051","±6,106","534,479","±10,657","27,026","±2,610","717,938","±6,617","154,220","±5,521","79,971","±3,082","82,444","±3,810","65,300","±3,463","76,255","±3,102","15,683","±1,312","378,985","±6,008","472,403","±6,144","325,828","±5,390","273,126","±4,461","26,142","±2,250","121,417","±3,689","8,517","±1,308","45,779","±2,151","250,137","±5,954","36,048","±2,303","868,213","±6,049","34,155","±2,409","1,666,113","±12,409","306,682","±5,178","13,749","±2,149","271,762","±5,995","84,694","±2,903","190,680","±5,297","455,027","±6,288","36,064","±1,723","80,969","±3,690","15,023","±2,237","119,046","±4,317","1,430,857","±9,655","75,898","±3,242","11,859","±1,196","555,422","±8,506","661,781","±8,253","13,459","±2,008","165,380","±4,021","5,807","±1,077","5,144","±1,803","18,415,198","±42,115"
"    Native Hawaiian and Other Pacific Islander alone","1,797","±889","7,958","±1,583","15,661","±1,992","9,398","±1,053","155,739","±5,748","7,585","±1,614","1,017","±764","896","±665","397","±171","12,841","±2,297","14,049","±5,305","144,971","±5,304","2,763","±1,450","5,317","±1,835","3,470","±1,344","3,463","±1,362","2,929","±2,017","4,943","±2,544","1,133","±750","465","±455","7,311","±4,478","2,775","±899","3,907","±870","2,396","±1,082","1,372","±948","7,385","±1,417","990","±648","1,289","±752","19,612","±1,707","515","±486","2,909","±1,258","2,465","±1,113","9,424","±2,807","10,218","±3,234","339","±360","4,228","±1,490","3,859","±1,187","18,758","±1,929","5,008","±1,684","883","±901","4,004","±1,941","51","±77","5,494","±2,158","21,463","±3,103","29,362","±2,108","139","±220","5,659","±1,226","53,924","±2,794","451","±352","1,961","±533","1,111","±877","767","±976","626,054","±15,011"
"    Some other race alone","84,027","±7,439","9,780","±2,618","373,688","±19,089","84,917","±6,739","5,453,229","±70,977","196,831","±13,409","195,208","±12,191","19,652","±4,198","30,897","±5,312","708,740","±33,569","301,148","±17,722","18,052","±3,227","59,217","±7,449","712,778","±25,545","162,303","±10,635","30,713","±5,286","73,293","±8,142","51,887","±6,124","65,366","±7,711","3,264","±1,154","304,042","±15,437","303,331","±15,326","118,467","±9,068","102,814","±7,851","29,778","±4,251","56,557","±6,735","5,828","±1,858","46,473","±4,917","358,786","±16,689","9,013","±2,733","604,334","±26,210","144,961","±10,667","1,689,845","±40,232","326,630","±16,675","9,569","±2,523","112,136","±8,017","110,013","±8,511","137,973","±11,792","307,572","±16,186","59,743","±7,937","92,980","±8,350","5,782","±1,672","101,153","±10,106","1,709,445","±37,101","171,456","±10,855","2,815","±938","215,743","±13,057","344,853","±17,208","6,430","±2,273","121,475","±8,843","8,798","±2,427","551,773","±17,132","16,253,785","±132,530"
"    Two or more races:","101,011","±7,687","62,196","±4,631","286,980","±13,897","88,201","±5,889","2,004,462","±33,391","227,470","±10,949","121,390","±7,616","25,828","±3,640","25,167","±2,776","613,925","±21,526","286,406","±13,656","345,775","±12,027","53,255","±5,086","340,977","±12,577","180,641","±10,300","69,268","±5,586","108,051","±7,339","108,018","±7,125","105,045","±7,750","30,019","±2,649","223,015","±10,957","234,744","±12,591","292,665","±10,365","174,832","±8,688","44,950","±5,616","173,864","±7,671","32,463","±3,362","58,961","±5,128","155,830","±9,895","29,957","±3,259","247,399","±16,035","67,186","±5,531","647,655","±24,504","298,143","±13,105","17,567","±2,421","358,398","±15,444","303,744","±9,210","197,222","±8,160","333,545","±13,725","32,730","±3,451","121,197","±9,549","23,384","±3,663","151,792","±8,781","763,990","±22,649","101,151","±6,568","12,785","±1,710","349,504","±14,736","452,633","±15,689","34,411","±2,884","146,513","±8,731","13,716","±2,127","153,216","±9,563","11,280,031","±103,247"
"        Two races including Some other race","8,348","±2,314","3,699","±1,298","49,912","±5,469","7,476","±1,775","440,705","±16,381","36,851","±5,349","22,099","±3,172","2,602","±1,157","3,722","±1,305","98,267","±8,564","43,573","±5,160","12,113","±3,022","11,073","±2,912","58,127","±6,210","26,544","±4,274","5,470","±1,565","8,624","±1,860","8,692","±1,997","8,882","±1,900","2,069","±1,061","27,473","±5,260","40,480","±5,905","25,572","±2,964","13,691","±2,799","3,213","±1,094","8,623","±1,859","2,651","±934","8,697","±2,650","27,270","±4,338","1,893","±768","54,021","±7,838","22,278","±3,477","152,400","±12,747","29,877","±4,678","907","±507","26,393","±3,581","14,144","±2,205","26,180","±4,163","39,279","±5,630","5,439","±1,697","14,653","±3,111","750","±514","11,108","±2,031","153,690","±9,192","18,253","±3,974","425","±356","34,203","±5,980","47,039","±5,560","1,177","±499","14,802","±2,647","1,710","±958","10,771","±1,808","1,687,139","±35,938"
"        Two races excluding Some other race, and three or more races","92,663","±7,070","58,497","±4,720","237,068","±12,794","80,725","±5,426","1,563,757","±27,461","190,619","±9,567","99,291","±7,110","23,226","±3,257","21,445","±2,461","515,658","±18,966","242,833","±12,034","333,662","±12,376","42,182","±4,688","282,850","±10,833","154,097","±9,248","63,798","±5,149","99,427","±7,260","99,326","±7,122","96,163","±7,674","27,950","±2,547","195,542","±10,594","194,264","±12,417","267,093","±10,161","161,141","±8,035","41,737","±5,390","165,241","±7,443","29,812","±3,090","50,264","±4,685","128,560","±8,891","28,064","±3,291","193,378","±13,292","44,908","±3,922","495,255","±20,870","268,266","±11,786","16,660","±2,364","332,005","±14,886","289,600","±8,772","171,042","±7,421","294,266","±11,865","27,291","±3,254","106,544","±9,316","22,634","±3,643","140,684","±8,272","610,300","±18,538","82,898","±5,317","12,360","±1,690","315,301","±14,623","405,594","±14,154","33,234","±2,847","131,711","±8,308","12,006","±1,916","142,445","±9,263","9,592,892","±89,872"
