"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","4,833,722","*****","735,132","*****","6,626,624","*****","2,959,373","*****","38,332,521","*****","5,268,367","*****","3,596,080","*****","925,749","*****","646,449","*****","19,552,860","*****","9,992,167","*****","1,404,054","*****","1,612,136","*****","12,882,135","*****","6,570,902","*****","3,090,416","*****","2,893,957","*****","4,395,295","*****","4,625,470","*****","1,328,302","*****","5,928,814","*****","6,692,824","*****","9,895,622","*****","5,420,380","*****","2,991,207","*****","6,044,171","*****","1,015,165","*****","1,868,516","*****","2,790,136","*****","1,323,459","*****","8,899,339","*****","2,085,287","*****","19,651,127","*****","9,848,060","*****","723,393","*****","11,570,808","*****","3,850,568","*****","3,930,065","*****","12,773,801","*****","1,051,511","*****","4,774,839","*****","844,877","*****","6,495,978","*****","26,448,193","*****","2,900,872","*****","626,630","*****","8,260,405","*****","6,971,406","*****","1,854,304","*****","5,742,713","*****","582,658","*****","3,615,086","*****","316,128,839","*****"
"    White alone","3,330,478","±7,452","487,762","±2,607","5,233,466","±20,452","2,305,726","±6,481","23,741,019","±60,867","4,415,852","±16,310","2,778,681","±12,024","637,606","±5,016","264,080","±4,748","14,897,782","±23,979","6,035,159","±18,488","358,977","±4,749","1,475,631","±6,127","9,362,416","±23,316","5,529,595","±10,040","2,823,908","±6,654","2,476,030","±7,298","3,854,574","±4,722","2,907,296","±7,112","1,260,470","±1,767","3,416,335","±14,007","5,330,381","±13,584","7,829,056","±7,600","4,596,087","±7,360","1,764,640","±4,613","5,003,971","±6,656","904,740","±2,388","1,650,358","±5,804","1,906,864","±16,433","1,236,757","±3,396","6,068,475","±23,885","1,569,585","±12,950","12,695,280","±28,799","6,811,501","±15,914","643,478","±1,336","9,541,274","±8,254","2,815,708","±6,474","3,370,391","±10,721","10,427,694","±14,989","846,102","±6,637","3,209,900","±7,245","719,112","±2,326","5,060,129","±9,986","19,840,367","±43,056","2,534,534","±11,587","595,148","±621","5,726,886","±11,488","5,439,705","±17,362","1,737,683","±2,487","4,972,949","±8,691","528,303","±4,118","2,596,735","±21,672","232,969,901","±125,843"
"    Black or African American alone","1,284,102","±5,822","25,077","±1,949","277,973","±5,853","463,928","±4,170","2,269,021","±12,513","209,555","±5,662","370,998","±6,001","200,249","±4,547","315,504","±3,335","3,141,552","±17,438","3,095,976","±12,306","30,306","±2,164","9,097","±1,768","1,833,560","±8,800","603,521","±7,160","102,430","±3,161","168,246","±4,206","350,164","±6,420","1,492,915","±6,267","13,617","±1,258","1,754,964","±9,739","474,427","±8,765","1,378,237","±8,581","294,527","±6,033","1,128,280","±6,928","692,288","±6,755","3,221","±869","86,010","±3,180","234,179","±4,884","16,100","±2,462","1,215,836","±11,667","41,733","±2,692","3,079,582","±16,847","2,121,712","±11,398","10,827","±1,906","1,405,148","±9,823","277,016","±4,245","72,655","±3,250","1,409,021","±11,876","67,541","±5,169","1,320,131","±5,887","13,001","±1,955","1,102,455","±6,795","3,142,866","±13,424","32,754","±2,655","7,184","±983","1,592,426","±9,897","259,337","±8,144","62,788","±2,989","357,899","±4,965","7,435","±1,382","280,579","±12,353","39,919,371","±55,395"
"    American Indian and Alaska Native alone","22,459","±2,783","105,310","±3,347","288,294","±6,139","17,704","±2,195","278,377","±12,277","43,613","±4,460","8,018","±2,149","3,955","±989","1,272","±709","50,379","±4,604","21,692","±3,374","2,272","±715","19,800","±2,091","25,575","±3,020","14,146","±1,860","7,630","±1,153","24,238","±2,688","7,434","±1,458","27,412","±2,799","8,242","±1,374","17,230","±2,150","13,958","±2,439","53,720","±3,834","59,184","±3,534","13,314","±2,025","22,797","±2,805","69,216","±3,043","14,405","±1,716","30,016","±2,703","3,082","±1,096","16,422","±2,955","189,392","±3,936","73,231","±5,463","112,630","±4,384","40,214","±1,927","18,273","±2,560","289,909","±6,109","43,202","±4,171","22,855","±3,241","4,136","±1,050","14,297","±1,656","71,981","±2,924","16,101","±2,792","118,862","±10,020","33,325","±2,553","1,579","±501","19,615","±2,763","95,193","±5,306","1,842","±704","49,653","±2,263","13,675","±1,946","15,942","±3,524","2,521,131","±28,182"
"    Asian alone","58,624","±3,007","41,775","±2,518","191,718","±5,359","39,210","±2,372","5,210,236","±17,797","150,852","±3,675","147,570","±3,638","33,639","±1,165","22,963","±1,409","509,588","±6,878","355,900","±5,458","531,218","±10,881","24,845","±1,855","635,385","±4,984","116,856","±3,681","63,431","±2,349","73,219","±3,039","53,187","±2,394","74,227","±2,619","14,059","±1,403","354,430","±4,723","388,317","±4,924","266,406","±4,477","234,013","±3,604","28,159","±2,430","102,626","±3,401","6,548","±961","37,356","±1,611","215,121","±4,286","31,156","±1,791","801,879","±6,084","28,274","±2,559","1,554,980","±9,200","238,502","±4,452","9,096","±1,178","212,547","±5,049","71,433","±3,415","152,271","±4,385","384,783","±4,798","33,240","±2,461","65,048","±3,121","9,105","±1,240","98,746","±3,220","1,089,907","±10,307","62,671","±2,745","7,640","±1,131","484,497","±6,079","536,093","±8,185","10,455","±1,525","142,590","±3,212","5,729","±1,326","10,998","±2,381","16,012,120","±35,390"
"    Native Hawaiian and Other Pacific Islander alone","1,521","±852","8,794","±1,026","12,609","±1,319","628","±537","142,782","±5,004","8,315","±1,623","545","±469","841","±508","104","±120","8,241","±2,264","3,639","±1,008","137,256","±5,756","1,818","±810","3,660","±997","2,703","±1,520","1,640","±901","1,416","±631","2,130","±980","673","±561","269","±244","3,053","±1,526","1,557","±684","2,267","±964","1,753","±618","268","±226","5,491","±1,332","491","±402","1,654","±1,229","18,302","±1,358","106","±129","1,633","±751","1,622","±673","9,962","±3,006","6,661","±2,706","371","±373","3,118","±911","5,486","±2,060","14,038","±1,868","2,241","±960","531","±465","3,137","±1,451","420","±367","2,990","±1,282","19,892","±2,713","27,513","±1,830","222","±251","5,808","±1,398","42,335","±2,971","1,547","±953","1,512","±606","185","±169","86","±97","525,750","±11,725"
"    Some other race alone","54,784","±6,398","9,508","±2,162","410,756","±18,564","66,953","±6,137","4,961,376","±59,949","251,148","±13,750","185,341","±11,698","23,029","±4,146","21,681","±4,483","486,005","±23,054","268,958","±18,378","14,008","±2,791","42,199","±6,180","732,177","±21,563","161,230","±9,713","38,541","±5,725","55,240","±6,294","40,077","±4,275","45,026","±5,473","3,811","±1,639","213,342","±14,510","285,569","±14,483","100,087","±7,413","88,055","±6,706","24,277","±3,527","65,011","±6,541","5,053","±1,459","35,871","±5,283","268,246","±16,631","10,869","±3,077","577,756","±22,428","185,279","±11,623","1,673,398","±31,480","320,910","±15,939","4,620","±1,346","94,489","±7,026","103,571","±6,608","111,728","±9,291","264,099","±15,494","73,059","±7,004","71,578","±6,948","6,721","±1,634","92,334","±8,959","1,589,415","±40,495","139,605","±11,002","1,633","±532","162,662","±11,034","255,584","±14,344","6,070","±2,079","96,937","±8,304","11,349","±2,817","386,903","±14,606","14,811,025","±129,173"
"    Two or more races:","81,754","±6,685","56,906","±5,042","211,808","±11,630","65,224","±4,906","1,729,710","±28,372","189,032","±9,967","104,927","±7,874","26,430","±4,367","20,845","±3,333","459,313","±17,451","210,843","±11,689","330,017","±11,789","38,746","±4,231","289,362","±10,691","142,851","±6,340","52,836","±4,662","95,568","±5,350","87,729","±6,717","77,921","±5,951","27,834","±2,229","169,460","±11,157","198,615","±9,369","265,849","±10,600","146,761","±7,938","32,269","±4,125","151,987","±8,395","25,896","±3,181","42,862","±4,208","117,408","±6,972","25,389","±2,901","217,338","±12,849","69,402","±6,099","564,694","±20,017","236,144","±12,145","14,787","±2,126","295,959","±10,226","287,445","±8,038","165,780","±7,176","263,108","±10,534","26,902","±4,271","90,748","±6,428","24,537","±3,567","123,223","±7,384","646,884","±18,699","70,470","±5,314","13,224","±1,405","268,511","±10,993","343,159","±13,390","33,919","±2,912","121,173","±6,418","15,982","±2,509","323,843","±14,520","9,369,541","±76,341"
"        Two races including Some other race","8,730","±2,903","2,077","±1,149","42,617","±5,460","5,289","±1,388","403,831","±17,049","35,393","±3,729","27,247","±4,765","2,898","±1,619","3,447","±1,466","83,946","±8,113","31,645","±4,722","12,878","±2,464","6,317","±2,036","54,746","±6,093","18,027","±3,581","6,837","±2,036","9,393","±1,712","8,014","±2,094","7,232","±1,733","468","±284","16,871","±3,034","32,029","±4,117","22,534","±3,028","10,983","±2,238","2,800","±1,333","11,370","±2,674","1,948","±955","6,932","±2,492","18,002","±3,334","1,175","±621","46,528","±5,643","19,789","±3,405","152,684","±11,512","30,834","±4,694","1,035","±594","20,704","±2,847","14,428","±2,185","16,255","±3,206","33,505","±5,217","4,605","±1,491","11,619","±2,786","1,537","±784","11,375","±2,273","140,449","±8,800","14,984","±2,658","595","±309","23,708","±4,051","27,877","±4,375","794","±356","12,706","±2,806","2,349","±913","22,485","±3,153","1,484,036","±29,983"
"        Two races excluding Some other race, and three or more races","73,024","±6,537","54,829","±4,959","169,191","±10,258","59,935","±4,958","1,325,879","±25,267","153,639","±8,717","77,680","±5,559","23,532","±3,917","17,398","±3,185","375,367","±15,506","179,198","±10,348","317,139","±11,901","32,429","±3,895","234,616","±8,843","124,824","±5,636","45,999","±4,240","86,175","±4,920","79,715","±6,560","70,689","±5,736","27,366","±2,259","152,589","±11,091","166,586","±9,070","243,315","±10,412","135,778","±7,503","29,469","±3,865","140,617","±7,832","23,948","±3,194","35,930","±3,261","99,406","±6,678","24,214","±2,900","170,810","±11,528","49,613","±4,600","412,010","±15,514","205,310","±11,572","13,752","±2,093","275,255","±9,499","273,017","±7,985","149,525","±6,020","229,603","±9,090","22,297","±3,681","79,129","±6,324","23,000","±3,416","111,848","±7,283","506,435","±18,440","55,486","±4,512","12,629","±1,415","244,803","±10,483","315,282","±12,514","33,125","±2,845","108,467","±5,944","13,633","±2,272","301,358","±14,761","7,885,505","±62,565"
