"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","4,874,747","*****","739,795","*****","7,016,270","*****","3,004,279","*****","39,536,653","*****","5,607,154","*****","3,588,184","*****","961,939","*****","693,972","*****","20,984,400","*****","10,429,379","*****","1,427,538","*****","1,716,943","*****","12,802,023","*****","6,666,818","*****","3,145,711","*****","2,913,123","*****","4,454,189","*****","4,684,333","*****","1,335,907","*****","6,052,177","*****","6,859,819","*****","9,962,311","*****","5,576,606","*****","2,984,100","*****","6,113,532","*****","1,050,493","*****","1,920,076","*****","2,998,039","*****","1,342,795","*****","9,005,644","*****","2,088,070","*****","19,849,399","*****","10,273,419","*****","755,393","*****","11,658,609","*****","3,930,864","*****","4,142,776","*****","12,805,537","*****","1,059,639","*****","5,024,369","*****","869,666","*****","6,715,984","*****","28,304,596","*****","3,101,833","*****","623,657","*****","8,470,020","*****","7,405,743","*****","1,815,857","*****","5,795,483","*****","579,315","*****","3,337,177","*****","325,719,178","*****"
"    White alone","3,312,718","±7,193","474,856","±3,312","5,442,417","±25,445","2,293,307","±7,105","23,181,769","±68,345","4,720,495","±13,280","2,723,013","±12,447","662,084","±4,020","284,536","±4,734","15,768,315","±33,431","6,122,956","±19,518","357,113","±4,528","1,546,011","±8,292","9,119,912","±26,997","5,577,897","±9,067","2,831,066","±5,732","2,462,215","±8,017","3,872,670","±6,224","2,890,818","±7,827","1,261,611","±1,419","3,322,483","±13,226","5,387,411","±16,190","7,814,775","±9,756","4,610,465","±7,477","1,735,887","±4,826","5,013,597","±7,917","930,548","±2,488","1,677,092","±5,326","1,936,859","±16,580","1,249,751","±2,780","6,112,238","±22,177","1,582,020","±11,641","12,523,357","±35,841","7,066,745","±16,775","654,116","±2,352","9,480,074","±9,073","2,837,492","±6,995","3,497,242","±14,004","10,339,488","±16,063","866,258","±7,073","3,380,219","±8,607","736,581","±2,594","5,221,591","±8,339","20,929,140","±49,248","2,657,013","±9,210","587,265","±1,192","5,714,699","±15,261","5,582,361","±14,609","1,684,321","±4,026","4,942,176","±10,663","528,414","±3,065","2,210,728","±25,678","235,507,457","±124,475"
"    Black or African American alone","1,307,467","±6,809","22,107","±1,923","307,655","±6,923","458,367","±5,104","2,271,917","±19,745","229,436","±6,270","380,578","±7,306","210,356","±3,797","318,220","±3,042","3,394,508","±19,514","3,292,061","±14,889","23,386","±2,357","11,347","±2,676","1,818,986","±10,407","623,961","±6,948","107,076","±4,342","167,207","±5,245","361,637","±6,545","1,521,339","±7,479","16,372","±1,321","1,806,673","±11,404","531,887","±11,002","1,374,615","±9,426","361,130","±5,956","1,134,333","±6,398","698,380","±8,685","4,635","±1,022","88,952","±3,328","274,550","±5,204","22,409","±2,820","1,217,572","±10,761","44,431","±3,251","3,136,984","±21,590","2,206,579","±12,167","23,294","±2,184","1,441,353","±10,913","286,716","±5,037","77,750","±3,874","1,437,081","±14,280","66,660","±5,240","1,357,385","±9,443","16,987","±1,897","1,122,675","±7,929","3,423,231","±16,872","37,669","±3,034","8,260","±1,155","1,627,641","±10,715","271,584","±8,603","71,991","±4,073","370,335","±4,564","5,766","±1,755","403,659","±18,645","41,393,491","±70,528"
"    American Indian and Alaska Native alone","25,181","±3,067","109,948","±4,628","317,974","±8,724","19,110","±2,399","313,859","±12,442","56,792","±4,293","11,268","±2,350","2,729","±778","1,690","±463","63,635","±6,958","36,855","±4,978","2,661","±899","21,589","±2,376","29,910","±4,796","12,397","±1,742","10,791","±2,128","21,426","±2,982","7,777","±1,749","23,848","±2,438","9,340","±1,227","18,931","±3,269","15,097","±2,882","53,461","±3,852","60,803","±3,655","13,746","±2,245","25,567","±3,166","64,908","±3,142","15,619","±1,744","37,910","±3,411","1,785","±614","17,843","±2,730","199,887","±4,107","76,069","±6,649","119,909","±5,099","41,706","±2,209","23,720","±3,264","302,400","±6,392","47,692","±4,485","23,523","±2,945","5,580","±2,229","15,007","±2,574","76,078","±2,436","14,637","±2,210","135,098","±9,085","32,694","±2,620","2,355","±731","26,792","±3,555","93,038","±6,275","2,438","±1,029","49,261","±2,660","13,944","±1,327","7,934","±2,447","2,726,278","±34,715"
"    Asian alone","66,908","±2,994","49,385","±2,179","232,517","±4,814","47,885","±3,261","5,765,305","±20,570","179,251","±4,255","163,924","±3,110","38,930","±1,658","28,499","±1,656","588,087","±7,774","410,915","±7,362","545,639","±8,663","23,113","±3,357","694,968","±6,277","148,366","±4,377","81,714","±2,862","85,840","±3,241","64,878","±2,732","84,816","±2,218","15,157","±1,289","391,328","±4,619","452,717","±5,899","308,052","±5,534","273,194","±4,115","27,694","±2,806","124,518","±4,632","7,366","±1,202","47,118","±1,953","255,025","±4,592","35,663","±1,914","886,261","±5,549","29,427","±1,834","1,734,663","±11,426","295,672","±4,895","12,699","±1,981","257,518","±4,828","86,704","±3,193","181,659","±4,496","444,588","±5,037","38,058","±1,655","76,181","±3,682","10,775","±1,976","119,115","±4,010","1,360,248","±12,057","75,691","±3,749","11,270","±1,081","545,776","±7,330","632,156","±8,576","13,733","±1,791","159,530","±3,156","4,832","±1,167","5,424","±1,934","18,215,328","±37,389"
"    Native Hawaiian and Other Pacific Islander alone","1,581","±800","8,830","±643","16,453","±2,059","8,551","±1,976","153,923","±5,688","8,400","±1,808","525","±407","244","±214","302","±209","13,937","±3,557","8,594","±4,808","145,271","±6,984","3,079","±1,199","4,860","±1,837","1,441","±727","5,876","±2,224","3,712","±1,793","3,527","±1,493","1,517","±848","228","±186","2,143","±792","993","±700","2,951","±1,127","2,044","±791","1,095","±933","8,956","±2,809","1,150","±802","1,244","±485","20,761","±1,706","560","±462","3,771","±1,356","1,684","±763","7,397","±1,742","8,385","±2,541","540","±445","4,216","±1,398","7,163","±2,135","16,144","±2,093","3,425","±1,423","1,128","±1,171","6,389","±4,664","944","±628","6,380","±3,151","23,905","±2,603","26,547","±3,160","166","±230","4,225","±1,094","48,533","±2,714","344","±483","4,177","±2,357","8","±15","0","±262","608,219","±15,786"
"    Some other race alone","67,308","±6,742","11,279","±2,328","432,853","±21,141","91,890","±7,755","5,911,803","±64,869","219,189","±11,815","191,373","±12,750","18,372","±3,423","40,116","±5,076","602,032","±29,652","271,833","±18,068","21,476","±3,232","59,093","±7,378","797,916","±26,426","125,725","±8,655","41,459","±5,461","71,385","±7,823","42,177","±5,939","75,586","±7,165","2,621","±1,063","305,303","±13,239","261,841","±16,473","113,928","±8,680","110,733","±7,416","30,914","±3,890","81,237","±8,559","7,788","±1,937","38,823","±4,822","333,731","±16,877","4,518","±1,355","538,371","±20,351","161,056","±10,764","1,768,858","±37,683","309,141","±16,321","8,251","±1,916","110,748","±8,860","107,507","±7,386","123,547","±12,664","243,000","±14,284","47,303","±7,153","81,959","±8,728","5,647","±1,821","89,260","±8,454","1,683,894","±47,259","179,943","±9,716","1,392","±534","219,501","±14,571","339,986","±15,931","12,506","±3,687","126,767","±10,372","10,001","±2,465","533,614","±20,287","16,552,940","±124,599"
"    Two or more races:","93,584","±6,810","63,390","±5,290","266,401","±12,035","85,169","±5,704","1,938,077","±38,582","193,591","±10,824","117,503","±7,644","29,224","±3,620","20,609","±3,240","553,886","±21,776","286,165","±15,074","331,992","±12,399","52,711","±6,054","335,471","±13,189","177,031","±8,148","67,729","±5,542","101,338","±6,084","101,523","±6,447","86,409","±7,164","30,578","±2,319","205,316","±11,384","209,873","±13,038","294,529","±10,231","158,237","±8,950","40,431","±5,134","161,277","±8,726","34,098","±3,173","51,228","±3,493","139,203","±8,911","28,109","±2,901","229,588","±10,637","69,565","±5,524","602,071","±18,354","266,988","±13,249","14,787","±2,568","340,980","±12,350","302,882","±8,985","198,742","±9,132","314,432","±14,624","34,652","±5,370","107,229","±9,891","22,654","±2,935","142,326","±8,537","749,080","±24,596","92,276","±7,549","12,949","±1,611","331,386","±14,713","438,085","±14,801","30,524","±3,525","143,237","±6,903","16,350","±2,542","175,818","±11,637","10,715,465","±93,074"
"        Two races including Some other race","9,444","±2,532","3,695","±1,214","54,867","±6,630","6,681","±2,073","407,704","±17,166","31,859","±4,106","25,885","±4,315","2,161","±861","2,786","±1,193","88,513","±9,383","35,867","±5,045","8,848","±1,911","6,236","±1,987","67,492","±7,217","21,398","±3,757","5,515","±1,443","8,273","±1,955","7,662","±1,789","6,691","±1,760","1,674","±827","24,666","±4,246","32,071","±4,932","28,363","±3,676","17,213","±3,093","4,230","±1,315","11,084","±2,345","2,569","±1,192","4,772","±1,187","22,325","±3,118","2,009","±957","52,851","±6,040","18,807","±3,205","152,509","±11,867","27,007","±4,265","1,019","±516","27,733","±4,262","14,917","±2,415","20,451","±4,647","34,246","±4,576","8,301","±3,514","9,274","±2,643","1,275","±1,080","10,405","±2,429","162,297","±13,215","16,977","±3,864","682","±479","31,959","±4,539","41,827","±4,912","2,384","±980","20,513","±3,861","2,247","±1,210","17,163","±3,105","1,610,234","±36,700"
"        Two races excluding Some other race, and three or more races","84,140","±6,533","59,695","±5,218","211,534","±10,390","78,488","±5,586","1,530,373","±31,513","161,732","±9,345","91,618","±7,525","27,063","±3,554","17,823","±3,031","465,373","±18,170","250,298","±14,332","323,144","±12,237","46,475","±5,821","267,979","±11,908","155,633","±7,352","62,214","±5,285","93,065","±5,904","93,861","±5,999","79,718","±6,888","28,904","±2,520","180,650","±10,200","177,802","±12,849","266,166","±9,629","141,024","±7,841","36,201","±4,862","150,193","±8,204","31,529","±3,145","46,456","±3,335","116,878","±8,092","26,100","±2,850","176,737","±9,623","50,758","±4,999","449,562","±14,651","239,981","±11,755","13,768","±2,418","313,247","±11,534","287,965","±8,657","178,291","±8,083","280,186","±13,610","26,351","±4,005","97,955","±9,315","21,379","±2,915","131,921","±8,422","586,783","±22,816","75,299","±6,001","12,267","±1,577","299,427","±13,967","396,258","±14,268","28,140","±3,396","122,724","±5,584","14,103","±2,288","158,655","±11,338","9,105,231","±84,633"
