"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","4,785,298","*****","713,985","*****","6,413,737","*****","2,921,606","*****","37,349,363","*****","5,049,071","*****","3,577,073","*****","899,769","*****","604,453","*****","18,843,326","*****","9,712,587","*****","1,363,621","*****","1,571,450","*****","12,843,166","*****","6,490,621","*****","3,049,883","*****","2,859,169","*****","4,346,266","*****","4,544,228","*****","1,327,567","*****","5,785,982","*****","6,557,254","*****","9,877,574","*****","5,310,584","*****","2,970,036","*****","5,996,231","*****","990,898","*****","1,830,429","*****","2,704,642","*****","1,316,759","*****","8,801,624","*****","2,065,932","*****","19,392,283","*****","9,561,558","*****","674,499","*****","11,536,182","*****","3,761,702","*****","3,838,957","*****","12,709,630","*****","1,052,886","*****","4,636,312","*****","816,463","*****","6,356,897","*****","25,257,114","*****","2,776,469","*****","625,960","*****","8,024,617","*****","6,744,496","*****","1,853,973","*****","5,691,047","*****","564,460","*****","3,722,133","*****","309,349,689","*****"
"    White alone","3,324,276","±6,847","481,446","±2,499","5,095,378","±24,661","2,289,695","±6,567","23,322,954","±69,327","4,208,365","±17,302","2,797,956","±10,233","636,052","±4,915","242,905","±4,030","14,411,461","±32,433","5,895,315","±17,303","335,563","±4,302","1,449,223","±5,879","9,305,662","±28,467","5,522,578","±9,035","2,791,596","±6,364","2,436,845","±7,539","3,837,101","±6,473","2,855,924","±5,605","1,265,687","±1,414","3,408,003","±10,960","5,320,148","±13,075","7,834,808","±10,593","4,573,199","±6,828","1,767,532","±4,916","4,983,469","±6,146","890,335","±1,948","1,627,046","±5,447","1,970,730","±13,285","1,238,424","±3,420","6,103,285","±19,750","1,515,500","±12,116","12,775,673","±26,664","6,666,233","±15,111","607,058","±1,188","9,569,990","±9,283","2,764,307","±8,104","3,262,714","±12,729","10,492,442","±11,982","857,493","±6,327","3,110,798","±8,478","701,880","±2,321","4,982,270","±9,322","18,716,520","±44,542","2,466,280","±10,860","597,325","±1,265","5,573,934","±16,436","5,308,097","±14,719","1,740,520","±2,508","4,951,854","±7,436","513,623","±2,841","2,523,383","±20,522","229,397,472","±133,343"
"    Black or African American alone","1,262,980","±5,127","24,711","±1,612","264,009","±5,590","464,411","±3,749","2,246,353","±14,331","198,117","±4,670","356,880","±5,421","191,626","±2,650","309,221","±2,659","2,997,377","±15,337","2,976,758","±9,979","20,345","±1,676","8,871","±1,619","1,866,145","±10,533","587,044","±7,499","95,190","±4,381","164,819","±4,262","336,561","±6,038","1,455,478","±7,095","15,121","±1,625","1,701,903","±7,464","443,271","±6,703","1,385,311","±7,695","273,680","±6,367","1,109,263","±5,953","703,257","±6,390","4,835","±1,072","80,630","±3,687","216,792","±5,005","15,448","±1,479","1,186,144","±9,320","40,588","±2,908","3,015,272","±17,302","2,050,395","±11,127","8,601","±1,080","1,412,002","±9,497","270,132","±4,992","70,368","±3,549","1,376,234","±11,015","62,822","±3,785","1,301,988","±6,526","10,743","±1,290","1,066,253","±7,068","2,970,243","±13,225","28,701","±2,468","6,564","±1,063","1,569,497","±8,714","239,112","±6,439","57,509","±3,533","350,438","±4,951","4,612","±1,021","281,915","±11,671","38,874,625","±51,551"
"    American Indian and Alaska Native alone","27,768","±3,139","104,539","±3,544","285,768","±6,634","18,625","±2,295","281,908","±12,716","49,608","±5,624","5,634","±1,359","2,470","±1,106","1,927","±750","67,854","±6,928","22,055","±3,666","2,660","±801","21,791","±2,283","29,545","±4,078","16,320","±2,173","9,147","±1,591","25,819","±2,538","9,201","±1,799","28,913","±3,426","6,876","±1,144","18,928","±4,576","13,481","±2,673","57,394","±3,805","57,270","±3,212","12,478","±1,676","21,642","±2,804","61,645","±2,616","17,005","±2,168","26,812","±2,698","2,888","±891","18,956","±2,852","195,112","±3,754","71,792","±5,491","111,756","±5,197","33,384","±1,708","21,331","±2,596","261,746","±7,116","49,975","±4,056","20,429","±2,439","3,176","±1,052","12,675","±2,234","73,601","±2,811","16,704","±3,385","129,162","±8,782","34,663","±2,325","1,542","±423","24,477","±4,217","99,736","±5,296","3,094","±1,297","47,703","±2,687","14,581","±1,563","6,470","±1,780","2,553,566","±28,633"
"    Asian alone","52,789","±2,754","39,118","±3,257","174,039","±4,937","33,240","±2,165","4,900,963","±16,077","133,796","±4,212","134,338","±2,644","27,482","±1,348","21,552","±966","452,580","±7,409","316,098","±5,145","530,937","±9,464","18,718","±2,020","590,174","±6,216","102,920","±3,317","51,756","±2,060","70,972","±2,331","47,895","±3,077","71,476","±3,183","13,678","±1,224","319,965","±4,433","353,211","±4,785","241,095","±4,236","209,834","±3,915","26,354","±2,849","93,404","±3,684","5,494","±908","29,248","±2,336","197,350","±4,935","28,125","±1,529","725,077","±5,900","25,323","±2,206","1,433,875","±9,785","211,705","±4,370","7,679","±1,065","197,489","±3,808","65,232","±2,927","141,586","±4,867","350,234","±5,367","30,939","±1,637","53,658","±3,328","8,001","±1,863","93,038","±3,471","969,500","±8,159","51,846","±2,665","7,813","±915","438,003","±6,485","485,029","±6,968","10,838","±979","129,033","±3,752","3,803","±967","13,248","±3,015","14,728,302","±30,199"
"    Native Hawaiian and Other Pacific Islander alone","606","±300","7,638","±890","12,180","±2,722","5,090","±709","142,932","±5,392","4,922","±1,290","1,317","±582","1,191","±912","233","±224","11,525","±2,188","2,533","±687","134,881","±4,613","2,095","±1,052","4,008","±1,294","1,201","±651","498","±370","888","±540","2,290","±988","4,388","±2,907","601","±427","2,122","±1,041","1,083","±580","2,268","±781","2,078","±894","196","±201","4,757","±1,418","592","±368","2,257","±1,920","16,279","±1,836","297","±333","2,500","±1,567","1,195","±698","6,597","±1,710","4,404","±1,054","424","±332","1,492","±827","4,234","±1,081","12,769","±1,315","2,758","±781","1,104","±927","1,642","±992","82","±149","2,039","±1,198","18,528","±2,995","26,013","±2,152","186","±213","6,709","±3,006","39,889","±2,374","701","±440","1,357","±368","347","±412","0","±285","507,916","±9,515"
"    Some other race alone","51,693","±6,476","6,496","±1,747","412,806","±22,842","61,388","±6,531","4,885,973","±67,184","282,026","±15,805","189,961","±10,472","17,852","±3,914","16,825","±3,775","495,530","±25,289","320,937","±16,948","15,126","±2,635","34,159","±4,822","805,013","±28,427","131,882","±9,845","46,395","±4,926","70,434","±6,729","41,764","±5,053","58,283","±6,173","2,034","±851","175,162","±11,518","245,326","±11,590","114,906","±9,632","66,664","±6,289","22,381","±4,128","57,171","±5,795","4,114","±1,402","34,134","±4,706","171,561","±12,650","10,430","±3,226","536,350","±21,128","228,992","±12,632","1,575,686","±27,562","298,308","±14,393","3,578","±946","93,309","±7,510","98,269","±6,964","163,581","±12,248","228,468","±11,422","68,424","±6,770","71,127","±7,227","6,060","±1,556","88,596","±8,563","1,905,113","±39,239","103,476","±9,471","2,215","±968","192,699","±16,161","269,378","±14,718","5,152","±1,664","89,857","±6,685","12,376","±2,268","399,238","±14,540","14,889,440","±118,731"
"    Two or more races:","65,186","±4,432","50,037","±4,222","169,557","±10,122","49,157","±4,194","1,568,280","±32,388","172,237","±8,592","90,987","±6,379","23,096","±3,436","11,790","±2,050","406,999","±16,059","178,891","±10,595","324,109","±11,358","36,593","±3,845","242,619","±11,153","128,676","±8,197","55,301","±4,856","89,392","±5,428","71,454","±5,462","69,766","±5,753","23,570","±2,152","159,899","±9,557","180,734","±11,073","241,792","±10,013","127,859","±7,699","31,832","±4,882","132,531","±7,992","23,883","±2,974","40,109","±4,277","105,118","±7,658","21,147","±2,344","229,312","±12,412","59,222","±5,179","513,388","±13,896","218,757","±11,429","13,775","±1,869","240,569","±9,459","297,782","±10,694","137,964","±8,568","239,065","±11,942","28,928","±3,153","84,424","±7,091","16,096","±2,591","107,997","±7,211","548,048","±20,535","65,490","±5,960","10,315","±1,582","219,298","±10,898","303,255","±11,858","36,159","±3,150","120,805","±7,010","15,118","±2,528","497,879","±14,329","8,398,368","±78,458"
"        Two races including Some other race","4,282","±1,396","2,194","±757","38,775","±4,944","5,415","±1,562","381,660","±16,369","32,757","±4,234","20,812","±3,744","3,742","±1,462","1,887","±647","82,745","±6,587","33,468","±4,749","11,354","±2,974","6,051","±2,188","47,582","±4,687","16,059","±2,816","7,086","±1,900","11,746","±2,918","5,957","±1,744","9,196","±1,917","1,515","±599","21,493","±3,223","33,834","±4,251","32,498","±3,561","9,761","±2,007","3,084","±1,085","10,422","±2,283","1,159","±488","5,178","±1,851","17,189","±2,983","2,076","±1,027","62,728","±6,009","22,106","±3,478","143,739","±8,977","32,964","±4,935","1,108","±721","23,696","±3,609","15,411","±3,289","18,505","±3,198","38,257","±4,986","6,885","±1,595","8,658","±2,258","1,709","±739","12,688","±2,803","155,229","±11,778","12,345","±3,065","439","±279","26,361","±4,539","33,433","±4,891","1,591","±725","17,716","±2,875","2,880","±1,357","18,977","±2,811","1,499,425","±36,850"
"        Two races excluding Some other race, and three or more races","60,904","±4,238","47,843","±4,260","130,782","±8,657","43,742","±3,939","1,186,620","±26,703","139,480","±7,106","70,175","±5,627","19,354","±3,224","9,903","±2,008","324,254","±14,660","145,423","±9,844","312,755","±11,240","30,542","±3,211","195,037","±10,423","112,617","±7,327","48,215","±4,519","77,646","±4,974","65,497","±5,585","60,570","±5,544","22,055","±2,019","138,406","±9,023","146,900","±10,563","209,294","±8,760","118,098","±7,472","28,748","±4,773","122,109","±8,056","22,724","±2,925","34,931","±3,928","87,929","±7,010","19,071","±2,316","166,584","±10,881","37,116","±4,417","369,649","±14,197","185,793","±10,441","12,667","±1,923","216,873","±9,222","282,371","±10,420","119,459","±7,158","200,808","±9,585","22,043","±3,336","75,766","±6,673","14,387","±2,612","95,309","±6,306","392,819","±14,900","53,145","±4,789","9,876","±1,558","192,937","±9,108","269,822","±10,662","34,568","±3,084","103,089","±6,366","12,238","±2,361","478,902","±14,338","6,898,943","±64,162"
