"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","4,849,377","*****","736,732","*****","6,731,484","*****","2,966,369","*****","38,802,500","*****","5,355,866","*****","3,596,677","*****","935,614","*****","658,893","*****","19,893,297","*****","10,097,343","*****","1,419,561","*****","1,634,464","*****","12,880,580","*****","6,596,855","*****","3,107,126","*****","2,904,021","*****","4,413,457","*****","4,649,676","*****","1,330,089","*****","5,976,407","*****","6,745,408","*****","9,909,877","*****","5,457,173","*****","2,994,079","*****","6,063,589","*****","1,023,579","*****","1,881,503","*****","2,839,099","*****","1,326,813","*****","8,938,175","*****","2,085,572","*****","19,746,227","*****","9,943,964","*****","739,482","*****","11,594,163","*****","3,878,051","*****","3,970,239","*****","12,787,209","*****","1,055,173","*****","4,832,482","*****","853,175","*****","6,549,352","*****","26,956,958","*****","2,942,902","*****","626,562","*****","8,326,289","*****","7,061,530","*****","1,850,326","*****","5,757,564","*****","584,153","*****","3,548,397","*****","318,857,056","*****"
"    White alone","3,320,273","±6,197","483,584","±2,777","5,273,335","±23,780","2,322,472","±6,143","23,814,044","±55,051","4,520,381","±14,471","2,763,949","±11,640","647,533","±4,080","265,077","±3,969","15,113,860","±28,793","6,043,917","±17,213","360,711","±3,547","1,498,107","±5,221","9,290,445","±21,829","5,547,390","±10,643","2,837,758","±4,198","2,466,138","±7,001","3,858,261","±5,024","2,919,142","±5,872","1,260,278","±1,558","3,432,582","±12,913","5,347,420","±13,679","7,816,586","±10,212","4,606,959","±7,887","1,761,195","±4,009","4,990,271","±5,990","914,571","±1,553","1,660,976","±5,151","1,931,264","±12,232","1,239,410","±2,714","6,053,656","±22,978","1,525,459","±15,508","12,634,312","±30,471","6,869,207","±14,005","654,375","±2,212","9,522,264","±7,875","2,827,481","±6,268","3,358,250","±13,638","10,408,847","±14,006","858,236","±5,406","3,254,145","±8,625","724,768","±2,261","5,084,404","±7,598","20,265,860","±39,583","2,568,018","±10,207","591,853","±1,756","5,739,681","±13,500","5,484,997","±15,746","1,731,464","±2,718","4,966,282","±7,475","531,680","±2,736","2,520,447","±22,007","233,963,128","±99,837"
"    Black or African American alone","1,291,826","±7,415","24,790","±2,506","280,518","±6,306","468,231","±4,648","2,259,681","±15,273","215,446","±4,979","371,857","±7,049","203,326","±3,317","321,346","±2,832","3,221,160","±14,886","3,163,620","±12,109","30,729","±2,376","11,354","±1,682","1,837,715","±10,948","612,890","±6,872","97,874","±3,370","171,976","±4,756","350,141","±6,964","1,502,184","±7,081","16,557","±1,197","1,774,618","±8,851","477,527","±8,002","1,375,194","±8,062","312,432","±5,955","1,132,556","±5,543","711,601","±6,936","5,812","±1,118","88,620","±3,209","242,994","±3,963","17,009","±2,081","1,212,054","±10,107","41,277","±2,170","3,093,476","±17,224","2,154,387","±10,354","14,910","±1,262","1,419,214","±9,642","287,254","±4,498","71,042","±3,386","1,416,865","±10,987","70,600","±3,924","1,320,373","±6,935","14,830","±2,141","1,105,318","±7,359","3,234,898","±16,292","33,520","±2,373","6,164","±1,031","1,601,449","±10,701","251,336","±7,633","68,279","±3,377","363,916","±4,394","6,320","±1,114","299,398","±13,111","40,379,066","±57,749"
"    American Indian and Alaska Native alone","22,553","±2,263","103,273","±3,251","294,757","±5,954","17,091","±2,248","286,631","±13,165","55,784","±5,557","7,085","±1,449","3,284","±911","1,859","±722","53,014","±5,155","25,301","±4,140","2,191","±783","21,550","±2,490","27,995","±3,491","13,063","±2,182","9,617","±1,171","24,500","±2,148","10,526","±2,316","26,009","±2,449","8,322","±1,255","14,657","±2,039","15,599","±2,686","55,729","±2,799","56,934","±2,820","12,252","±1,701","26,387","±2,475","70,035","±2,384","17,959","±2,436","30,503","±2,361","2,339","±702","15,270","±2,236","198,450","±3,810","81,512","±6,631","111,276","±4,198","39,669","±2,089","22,761","±2,657","289,732","±5,548","46,761","±3,508","27,367","±3,198","5,579","±1,067","14,155","±1,835","71,811","±2,506","17,139","±2,466","121,708","±9,067","32,874","±2,782","2,513","±840","21,233","±2,448","95,613","±4,947","3,716","±1,127","50,703","±2,596","15,073","±1,750","10,710","±2,044","2,601,714","±27,827"
"    Asian alone","58,456","±3,055","43,915","±2,139","212,116","±4,644","36,555","±2,279","5,398,090","±18,287","157,958","±4,063","151,402","±3,740","36,172","±888","24,910","±1,142","524,583","±7,659","371,688","±5,501","534,189","±9,753","24,009","±3,453","663,454","±5,604","130,250","±3,827","68,419","±3,108","76,245","±2,414","54,542","±2,814","78,675","±2,378","14,447","±1,256","369,996","±4,570","413,079","±4,865","281,404","±4,069","250,352","±3,570","24,009","±2,276","107,426","±3,866","8,176","±1,500","38,892","±1,651","221,841","±4,609","33,974","±2,254","827,493","±4,813","31,566","±2,145","1,613,255","±8,423","246,721","±4,309","8,899","±919","225,438","±5,022","76,654","±2,858","159,891","±4,298","399,285","±5,091","35,676","±2,016","68,976","±2,531","11,017","±1,189","102,508","±3,823","1,161,951","±9,196","66,060","±2,726","9,933","±1,118","510,871","±6,813","554,101","±5,778","11,642","±1,694","150,258","±3,182","5,541","±1,066","8,810","±2,213","16,686,960","±33,816"
"    Native Hawaiian and Other Pacific Islander alone","1,446","±723","8,395","±1,144","12,721","±1,540","7,148","±2,176","150,072","±5,167","6,679","±1,548","1,019","±668","216","±252","172","±198","15,149","±3,314","6,638","±2,517","147,612","±5,023","1,984","±843","5,825","±1,486","3,216","±1,261","2,576","±1,311","2,471","±1,696","2,650","±1,378","2,816","±1,582","36","±39","2,086","±543","1,329","±571","2,260","±680","2,392","±968","458","±384","3,763","±1,221","276","±194","1,056","±647","18,553","±1,480","437","±312","2,595","±1,051","592","±407","4,574","±1,304","5,768","±1,738","173","±158","3,223","±1,275","4,995","±1,023","14,113","±1,864","4,197","±1,545","385","±421","2,959","±1,694","442","±415","3,409","±1,289","20,055","±2,323","25,425","±2,252","365","±370","4,553","±1,661","45,359","±2,260","300","±231","1,384","±651","837","±674","495","±435","557,154","±12,419"
"    Some other race alone","69,859","±6,642","9,967","±2,196","433,934","±21,381","50,385","±5,783","5,114,193","±54,578","215,290","±14,446","197,532","±12,084","20,966","±3,483","28,798","±4,648","489,726","±24,853","282,876","±16,095","13,830","±2,449","36,664","±4,390","763,579","±22,418","143,931","±10,528","30,497","±3,874","63,129","±5,802","43,094","±4,741","42,238","±5,421","2,947","±1,313","209,461","±13,474","279,928","±13,749","121,859","±9,960","85,069","±7,176","25,266","±3,313","73,680","±6,990","2,856","±1,056","30,095","±3,853","268,796","±12,699","6,252","±1,438","621,199","±22,403","224,820","±14,008","1,746,680","±33,590","322,251","±15,157","4,680","±1,776","103,388","±7,629","93,987","±5,080","141,502","±12,897","241,491","±15,279","57,362","±5,005","69,517","±8,565","6,774","±1,895","99,109","±8,028","1,488,773","±36,237","138,510","±10,255","2,872","±1,041","174,873","±12,257","247,151","±14,847","4,172","±1,300","105,647","±7,331","11,808","±2,532","481,724","±17,739","15,063,263","±109,804"
"    Two or more races:","84,964","±6,399","62,808","±4,350","224,103","±10,975","64,487","±5,713","1,779,789","±27,724","184,328","±9,649","103,833","±7,876","24,117","±3,277","16,731","±2,508","475,805","±19,977","203,303","±11,149","330,299","±10,633","40,796","±4,211","291,567","±11,291","146,115","±6,741","60,385","±4,438","99,562","±5,710","94,243","±5,982","78,612","±6,002","27,502","±2,120","173,007","±8,314","210,526","±11,366","256,845","±10,687","143,035","±6,682","38,343","±4,290","150,461","±7,713","21,853","±2,394","43,905","±4,253","125,148","±7,195","27,392","±3,155","205,908","±10,145","63,408","±5,137","572,418","±19,210","234,354","±11,322","16,776","±2,951","297,875","±10,298","297,948","±9,105","178,680","±7,082","289,157","±12,804","27,335","±3,951","102,357","±8,134","23,533","±2,893","137,465","±8,211","663,713","±19,229","78,495","±6,819","12,862","±2,167","273,629","±11,226","382,973","±11,575","30,753","±3,140","119,374","±6,609","12,894","±2,284","226,813","±10,337","9,605,771","±83,701"
"        Two races including Some other race","5,747","±1,716","3,340","±1,322","48,297","±5,481","5,166","±1,535","381,235","±15,696","34,186","±3,782","23,831","±4,290","1,881","±733","1,379","±487","84,510","±9,271","29,331","±4,282","10,591","±2,189","5,718","±1,590","61,846","±5,910","18,422","±2,575","5,516","±1,500","10,347","±2,265","7,039","±1,700","8,923","±2,096","862","±359","20,650","±3,718","29,925","±4,124","21,450","±3,219","10,531","±2,102","3,119","±1,043","12,763","±2,896","1,178","±574","4,518","±1,374","19,787","±3,227","4,359","±1,544","49,332","±5,247","28,179","±4,972","137,065","±8,803","29,383","±3,699","685","±343","28,884","±3,978","15,694","±2,988","18,524","±3,740","33,564","±4,059","7,516","±2,283","7,004","±2,091","1,082","±538","12,469","±3,039","135,781","±9,222","13,849","±3,252","263","±172","28,524","±4,982","36,397","±5,447","2,384","±1,098","13,815","±2,623","1,885","±746","20,438","±3,313","1,478,726","±31,265"
"        Two races excluding Some other race, and three or more races","79,217","±6,270","59,468","±4,093","175,806","±10,287","59,321","±5,447","1,398,554","±25,820","150,142","±8,059","80,002","±6,679","22,236","±3,257","15,352","±2,430","391,295","±17,549","173,972","±9,806","319,708","±10,619","35,078","±3,934","229,721","±10,526","127,693","±6,610","54,869","±4,277","89,215","±5,545","87,204","±5,642","69,689","±5,516","26,640","±2,038","152,357","±7,482","180,601","±10,931","235,395","±9,697","132,504","±6,804","35,224","±4,313","137,698","±7,277","20,675","±2,267","39,387","±3,708","105,361","±6,498","23,033","±2,735","156,576","±9,280","35,229","±2,811","435,353","±17,034","204,971","±10,634","16,091","±2,922","268,991","±9,912","282,254","±8,434","160,156","±6,717","255,593","±11,177","19,819","±3,015","95,353","±7,395","22,451","±2,803","124,996","±7,830","527,932","±16,825","64,646","±5,208","12,599","±2,171","245,105","±9,936","346,576","±10,660","28,369","±2,986","105,559","±5,863","11,009","±2,198","206,375","±10,432","8,127,045","±69,401"
