"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","4,802,740","*****","722,718","*****","6,482,505","*****","2,937,979","*****","37,691,912","*****","5,116,796","*****","3,580,709","*****","907,135","*****","617,996","*****","19,057,542","*****","9,815,210","*****","1,374,810","*****","1,584,985","*****","12,869,259","*****","6,516,922","*****","3,062,309","*****","2,871,238","*****","4,369,356","*****","4,574,836","*****","1,328,188","*****","5,828,289","*****","6,587,536","*****","9,876,187","*****","5,344,861","*****","2,978,512","*****","6,010,688","*****","998,199","*****","1,842,641","*****","2,723,322","*****","1,318,194","*****","8,821,155","*****","2,082,224","*****","19,465,197","*****","9,656,401","*****","683,932","*****","11,544,951","*****","3,791,508","*****","3,871,859","*****","12,742,886","*****","1,051,302","*****","4,679,230","*****","824,082","*****","6,403,353","*****","25,674,681","*****","2,817,222","*****","626,431","*****","8,096,604","*****","6,830,038","*****","1,855,364","*****","5,711,767","*****","568,158","*****","3,706,690","*****","311,591,919","*****"
"    White alone","3,318,110","±8,630","482,698","±2,741","5,141,027","±23,299","2,296,248","±7,497","23,698,393","±65,345","4,318,187","±17,394","2,787,171","±11,468","636,680","±4,729","246,505","±3,665","14,535,897","±31,466","5,961,961","±19,867","343,352","±3,503","1,465,484","±5,687","9,328,438","±27,666","5,512,023","±8,881","2,800,812","±4,987","2,442,531","±6,705","3,837,605","±5,487","2,874,839","±6,593","1,264,494","±1,599","3,414,300","±13,228","5,305,948","±12,504","7,830,903","±9,530","4,577,875","±7,618","1,770,546","±4,486","4,991,510","±7,231","891,294","±2,197","1,624,885","±5,966","1,948,463","±15,765","1,240,868","±2,868","6,104,543","±20,959","1,492,790","±15,175","12,710,382","±29,843","6,768,523","±16,949","614,327","±1,430","9,566,847","±8,300","2,792,094","±7,616","3,279,357","±12,288","10,485,910","±11,661","859,000","±5,950","3,135,216","±8,956","707,944","±2,394","4,990,068","±8,309","19,149,157","±45,618","2,486,869","±10,393","596,253","±999","5,615,742","±14,273","5,357,161","±15,858","1,741,915","±2,269","4,980,495","±8,349","515,335","±2,893","2,539,680","±21,485","230,838,975","±111,437"
"    Black or African American alone","1,281,095","±4,637","23,143","±2,072","265,940","±7,841","463,364","±4,287","2,253,905","±15,479","203,243","±4,916","359,683","±5,702","193,899","±2,993","309,845","±2,181","3,046,628","±20,255","3,021,927","±14,079","26,281","±1,452","8,392","±1,656","1,867,304","±10,690","589,109","±7,189","88,258","±3,256","167,669","±4,848","348,778","±6,594","1,469,876","±6,384","13,598","±1,448","1,725,923","±6,990","451,127","±7,855","1,388,139","±7,863","279,142","±6,224","1,115,359","±5,473","688,379","±6,563","4,305","±1,404","83,693","±3,632","222,551","±5,616","14,655","±1,344","1,182,905","±11,416","44,365","±3,969","3,036,099","±16,183","2,091,558","±11,959","6,857","±1,255","1,396,483","±10,548","275,392","±4,430","70,067","±2,807","1,372,685","±12,132","63,397","±3,762","1,305,093","±7,192","9,517","±1,203","1,071,463","±6,624","3,011,795","±13,895","32,524","±3,943","5,194","±937","1,581,452","±10,391","239,665","±6,363","56,178","±2,868","356,550","±4,844","5,079","±937","290,083","±11,977","39,189,528","±54,434"
"    American Indian and Alaska Native alone","24,408","±2,242","102,293","±3,803","289,812","±5,175","16,772","±2,398","289,597","±14,245","51,677","±4,851","7,481","±1,778","2,794","±895","1,956","±848","63,416","±6,292","24,980","±4,510","3,942","±1,158","20,511","±2,685","25,818","±3,305","12,817","±1,863","12,009","±1,482","23,830","±2,669","9,662","±1,761","28,830","±2,237","8,148","±1,581","14,530","±1,385","13,160","±2,325","54,719","±3,625","60,842","±3,167","11,815","±1,722","22,326","±2,594","66,644","±3,337","17,985","±1,896","32,805","±3,070","2,154","±701","21,103","±3,871","190,825","±4,587","67,731","±4,685","111,633","±4,192","38,515","±1,701","19,589","±2,047","260,733","±7,642","52,026","±4,557","17,315","±2,084","4,370","±1,273","13,244","±1,991","71,532","±2,373","18,732","±3,475","128,773","±11,133","31,795","±3,102","2,140","±607","24,374","±3,459","91,703","±5,026","2,834","±1,024","48,065","±2,516","12,241","±1,370","8,254","±2,052","2,547,006","±34,004"
"    Asian alone","54,259","±2,260","37,971","±2,083","177,297","±6,178","34,342","±2,594","4,970,627","±17,933","143,760","±3,834","141,081","±2,409","29,930","±1,168","22,510","±968","463,164","±8,849","322,841","±7,505","523,824","±9,782","20,913","±2,460","599,115","±6,487","102,695","±4,396","56,040","±2,355","67,235","±3,040","50,424","±2,713","72,484","±2,804","13,498","±1,852","329,770","±4,691","365,968","±4,987","242,232","±5,033","216,270","±3,768","27,077","±3,206","96,187","±3,149","5,714","±1,173","34,517","±1,779","194,695","±6,015","29,002","±2,149","747,620","±6,615","25,637","±1,939","1,447,760","±9,725","211,328","±5,649","7,070","±1,051","194,814","±5,015","65,513","±3,141","152,909","±4,397","358,168","±4,389","33,235","±1,460","63,356","±2,782","7,855","±869","92,286","±4,046","999,118","±10,194","56,679","±3,028","7,733","±983","455,242","±7,971","501,712","±7,684","11,492","±1,378","130,617","±3,336","4,833","±1,100","9,489","±2,369","15,020,419","±34,584"
"    Native Hawaiian and Other Pacific Islander alone","1,919","±1,208","7,785","±727","11,941","±1,586","7,279","±1,910","146,894","±5,678","5,949","±641","1,416","±755","22","±29","0","±200","12,545","±3,380","5,659","±2,702","128,087","±5,294","1,287","±682","1,378","±632","786","±503","1,010","±428","1,642","±771","729","±449","3,126","±2,331","134","±116","1,924","±1,095","858","±443","2,118","±889","763","±342","108","±122","5,692","±1,498","968","±838","693","±303","16,360","±1,595","117","±129","3,365","±1,571","1,171","±614","5,562","±2,536","4,132","±986","147","±158","1,981","±808","5,393","±1,210","15,100","±2,454","2,009","±811","188","±215","2,042","±1,524","63","±71","2,299","±1,197","18,726","±4,172","27,209","±2,416","245","±186","5,084","±1,580","40,300","±2,479","126","±128","1,485","±695","201","±169","0","±210","506,017","±13,644"
"    Some other race alone","58,499","±7,039","8,599","±1,933","402,195","±21,457","62,745","±7,426","4,738,489","±66,403","221,207","±15,837","195,293","±10,646","19,682","±4,485","24,420","±3,654","512,411","±27,599","287,608","±19,454","17,772","±3,259","28,938","±5,066","783,647","±28,478","157,123","±10,274","43,292","±5,237","71,792","±6,124","41,911","±5,188","48,020","±6,386","3,249","±1,000","189,897","±13,333","282,417","±13,444","105,245","±7,698","74,998","±7,403","19,265","±3,669","61,460","±6,179","5,149","±1,668","40,493","±4,982","202,603","±14,069","8,756","±2,720","544,803","±20,644","263,221","±13,689","1,670,880","±32,891","264,372","±16,180","4,362","±1,325","99,138","±7,672","90,736","±6,574","167,719","±11,405","259,538","±11,861","62,356","±6,489","75,888","±8,400","7,031","±1,805","107,031","±8,493","1,770,210","±43,137","112,788","±10,140","1,227","±792","173,964","±12,649","278,678","±16,551","4,452","±1,701","77,758","±7,682","14,829","±2,941","361,521","±14,515","14,768,156","±109,197"
"    Two or more races:","64,450","±5,189","60,229","±4,733","194,293","±11,560","57,229","±5,642","1,594,007","±33,877","172,773","±9,552","88,584","±5,802","24,128","±3,358","12,760","±1,744","423,481","±20,163","190,234","±12,372","331,552","±13,187","39,460","±4,126","263,559","±12,405","142,369","±7,286","60,888","±4,827","96,539","±6,414","80,247","±6,532","77,661","±6,414","25,067","±2,640","151,945","±8,308","168,058","±11,199","252,831","±9,915","134,971","±8,828","34,342","±4,658","145,134","±7,914","24,125","±2,788","40,375","±3,846","105,845","±10,551","22,642","±2,360","216,816","±12,912","64,215","±5,875","526,783","±16,971","204,855","±14,449","12,654","±1,852","266,099","±11,306","301,647","±9,225","134,681","±7,065","247,261","±11,270","28,756","±4,167","84,391","±7,046","20,140","±2,746","121,474","±7,801","596,902","±18,892","69,358","±6,379","13,639","±1,462","240,746","±14,173","320,819","±12,964","38,367","±2,797","116,797","±6,125","15,640","±2,461","497,663","±15,956","8,721,818","±93,574"
"        Two races including Some other race","5,766","±1,769","3,382","±1,371","48,953","±6,342","5,570","±1,652","367,859","±18,403","36,014","±4,659","21,150","±3,427","2,548","±1,242","1,315","±601","87,418","±9,889","26,079","±4,788","9,336","±2,687","4,935","±1,616","55,819","±6,037","20,049","±3,898","6,250","±2,007","10,330","±2,388","6,141","±1,663","9,259","±1,992","1,140","±606","19,794","±3,941","33,692","±4,484","25,908","±3,717","10,804","±2,087","4,724","±2,092","12,836","±2,613","803","±554","6,545","±2,137","13,132","±2,937","1,761","±803","56,275","±5,151","22,519","±3,662","161,456","±12,351","27,403","±5,287","473","±280","18,248","±3,181","14,276","±2,296","16,578","±3,768","32,372","±3,830","6,847","±1,857","8,289","±2,501","984","±638","12,083","±2,887","155,873","±12,345","12,369","±3,121","764","±455","27,514","±5,814","31,919","±5,323","1,436","±712","14,003","±2,386","2,057","±752","20,501","±2,915","1,483,050","±42,974"
"        Two races excluding Some other race, and three or more races","58,684","±4,826","56,847","±4,516","145,340","±10,223","51,659","±5,206","1,226,148","±25,786","136,759","±7,670","67,434","±4,884","21,580","±3,200","11,445","±1,673","336,063","±17,975","164,155","±11,433","322,216","±13,960","34,525","±3,632","207,740","±11,389","122,320","±6,182","54,638","±4,214","86,209","±5,598","74,106","±6,415","68,402","±6,003","23,927","±2,547","132,151","±7,275","134,366","±10,032","226,923","±9,568","124,167","±8,111","29,618","±4,244","132,298","±7,311","23,322","±2,731","33,830","±3,756","92,713","±10,076","20,881","±2,301","160,541","±11,429","41,696","±4,712","365,327","±12,488","177,452","±13,500","12,181","±1,858","247,851","±10,729","287,371","±8,863","118,103","±5,730","214,889","±11,309","21,909","±3,436","76,102","±6,431","19,156","±2,621","109,391","±7,275","441,029","±16,945","56,989","±4,947","12,875","±1,435","213,232","±14,159","288,900","±12,029","36,931","±2,663","102,794","±5,634","13,583","±2,398","477,162","±16,008","7,238,768","±74,216"
