"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","4,858,979","*****","738,432","*****","6,828,065","*****","2,978,204","*****","39,144,818","*****","5,456,574","*****","3,590,886","*****","945,934","*****","672,228","*****","20,271,272","*****","10,214,860","*****","1,431,603","*****","1,654,930","*****","12,859,995","*****","6,619,680","*****","3,123,899","*****","2,911,641","*****","4,425,092","*****","4,670,724","*****","1,329,328","*****","6,006,401","*****","6,794,422","*****","9,922,576","*****","5,489,594","*****","2,992,333","*****","6,083,672","*****","1,032,949","*****","1,896,190","*****","2,890,845","*****","1,330,608","*****","8,958,013","*****","2,085,109","*****","19,795,791","*****","10,042,802","*****","756,928","*****","11,613,423","*****","3,911,338","*****","4,028,977","*****","12,802,503","*****","1,056,298","*****","4,896,146","*****","858,469","*****","6,600,299","*****","27,469,114","*****","2,995,919","*****","626,042","*****","8,382,993","*****","7,170,351","*****","1,844,128","*****","5,771,337","*****","586,107","*****","3,474,182","*****","321,418,821","*****"
"    White alone","3,329,913","±5,703","481,314","±3,176","5,285,994","±24,068","2,308,047","±6,642","23,824,254","±64,923","4,607,390","±13,594","2,747,943","±12,766","654,904","±4,740","269,143","±3,524","15,357,374","±27,705","6,077,438","±15,641","372,252","±4,443","1,514,404","±5,361","9,238,679","±23,235","5,559,694","±9,753","2,826,672","±5,945","2,465,799","±7,726","3,865,712","±5,045","2,914,693","±7,522","1,258,074","±1,424","3,395,048","±10,270","5,373,238","±12,798","7,801,483","±8,387","4,614,799","±7,190","1,758,586","±4,423","5,011,327","±7,416","918,701","±2,213","1,671,988","±6,529","1,952,341","±14,544","1,245,262","±1,995","6,060,267","±21,214","1,530,670","±13,867","12,621,132","±30,579","6,934,715","±14,528","667,900","±2,285","9,519,055","±8,894","2,838,386","±6,875","3,433,909","±9,509","10,386,678","±12,857","848,845","±6,308","3,292,094","±7,581","725,937","±2,619","5,129,336","±8,520","20,587,917","±39,722","2,611,340","±11,303","593,056","±1,306","5,718,051","±14,388","5,513,655","±12,496","1,722,847","±2,814","4,965,524","±9,672","536,320","±3,624","2,355,164","±19,257","234,940,100","±116,033"
"    Black or African American alone","1,303,298","±5,731","26,176","±1,808","300,685","±6,487","469,555","±5,093","2,277,229","±14,769","224,809","±6,222","380,571","±6,628","203,863","±3,106","318,831","±2,822","3,280,778","±15,532","3,197,929","±14,494","29,644","±2,122","8,828","±1,371","1,844,624","±9,309","605,660","±8,094","106,610","±4,123","172,109","±4,919","355,718","±5,355","1,502,375","±7,155","14,795","±1,718","1,770,161","±10,035","499,357","±8,709","1,378,111","±9,749","320,267","±5,209","1,128,475","±4,848","709,969","±6,726","4,725","±1,068","90,535","±2,978","246,720","±4,756","21,292","±1,989","1,198,613","±9,845","47,873","±3,058","3,081,333","±16,953","2,172,492","±10,565","15,681","±1,519","1,426,291","±11,547","286,314","±5,378","76,980","±3,389","1,408,512","±9,508","65,504","±4,156","1,344,114","±7,124","13,172","±1,389","1,110,412","±8,543","3,298,173","±17,739","34,524","±2,077","7,996","±907","1,612,831","±11,194","262,552","±7,397","71,194","±3,663","362,290","±4,469","4,727","±1,391","341,710","±12,882","40,695,277","±62,504"
"    American Indian and Alaska Native alone","20,503","±2,947","101,133","±3,272","308,469","±7,402","20,797","±2,908","282,777","±13,225","49,138","±4,089","8,893","±1,859","3,121","±1,020","1,661","±1,142","47,032","±5,060","28,491","±4,538","3,899","±1,122","23,516","±2,780","28,792","±3,784","15,704","±2,436","11,554","±2,216","27,041","±3,024","8,914","±1,879","22,645","±2,192","8,966","±1,152","15,403","±2,830","10,663","±1,777","53,668","±3,628","55,212","±2,866","11,723","±1,059","25,808","±2,716","65,106","±2,658","17,360","±2,077","33,607","±3,481","1,561","±592","16,870","±3,382","193,512","±4,537","69,933","±5,571","120,513","±4,986","37,745","±1,750","21,901","±3,439","286,598","±6,783","50,126","±4,304","25,085","±3,616","4,563","±1,167","13,761","±1,890","71,102","±2,895","19,294","±2,549","132,948","±9,458","35,407","±3,544","2,698","±709","22,773","±3,258","92,403","±4,540","2,140","±825","51,752","±2,655","12,968","±1,357","10,984","±2,741","2,597,249","±28,184"
"    Asian alone","59,393","±2,341","47,295","±2,541","217,556","±5,352","42,404","±2,472","5,548,936","±20,371","162,880","±5,083","156,249","±2,710","36,114","±1,597","25,944","±1,021","544,068","±8,941","388,457","±5,862","531,268","±10,112","21,145","±2,248","674,236","±6,487","138,664","±4,048","68,505","±3,291","84,221","±2,647","59,626","±2,828","81,039","±1,904","13,291","±1,358","385,167","±4,604","430,739","±4,536","293,157","±3,884","258,839","±4,929","30,540","±2,306","114,889","±3,501","9,071","±1,235","39,906","±1,996","231,566","±4,314","34,014","±1,938","849,240","±5,820","29,282","±2,691","1,672,186","±9,568","268,322","±5,310","10,104","±829","233,468","±4,811","78,528","±2,737","164,291","±4,505","420,116","±5,025","35,540","±2,074","70,342","±2,659","11,911","±1,378","107,075","±3,696","1,248,823","±9,581","68,945","±2,917","8,627","±883","524,476","±6,496","568,108","±7,057","14,137","±1,353","156,192","±3,592","4,885","±993","7,264","±2,632","17,273,777","±37,430"
"    Native Hawaiian and Other Pacific Islander alone","4,448","±2,823","6,762","±1,818","11,284","±1,274","7,639","±907","157,554","±6,508","9,136","±1,514","519","±229","334","±285","475","±358","11,898","±2,694","4,337","±1,726","134,232","±5,671","1,931","±1,013","4,514","±1,103","2,602","±1,294","3,282","±1,772","2,197","±1,182","2,765","±1,066","1,146","±456","652","±436","2,911","±801","1,410","±690","3,757","±1,092","1,570","±490","834","±628","6,199","±1,594","1,034","±658","1,221","±765","18,326","±1,544","254","±231","3,556","±1,308","1,355","±819","6,446","±1,887","4,990","±1,430","445","±409","4,995","±2,361","3,541","±946","14,239","±2,030","4,253","±1,249","211","±268","3,361","±1,751","737","±524","2,909","±1,195","20,071","±2,687","23,886","±2,762","387","±368","5,506","±1,079","46,453","±2,417","479","±321","1,643","±547","260","±223","0","±221","554,946","±13,174"
"    Some other race alone","54,105","±6,092","12,467","±3,116","481,631","±21,623","65,542","±6,352","5,300,297","±63,956","209,890","±13,025","180,107","±12,856","19,157","±3,844","34,797","±4,077","528,266","±22,821","284,084","±16,303","10,135","±1,858","37,682","±4,854","773,685","±24,560","140,617","±10,232","47,404","±5,301","67,275","±6,490","38,122","±4,649","51,153","±6,010","2,957","±1,083","250,417","±12,016","280,631","±12,650","120,463","±7,841","83,169","±6,087","26,315","±4,523","65,614","±5,724","7,142","±1,882","31,466","±5,873","264,719","±12,674","5,663","±1,465","585,855","±21,114","211,620","±13,501","1,763,351","±31,551","300,313","±15,723","6,119","±1,662","98,382","±7,123","108,268","±7,114","106,607","±8,516","248,488","±13,541","65,257","±6,793","68,788","±6,965","10,213","±2,321","90,293","±7,353","1,489,855","±35,287","135,580","±9,562","2,129","±1,066","203,193","±14,178","289,942","±11,884","3,870","±1,197","102,235","±8,210","10,612","±3,081","592,114","±14,496","15,375,942","±120,011"
"    Two or more races:","87,319","±6,593","63,285","±4,721","222,446","±10,813","64,220","±5,652","1,753,771","±30,465","193,331","±9,623","116,604","±7,769","28,441","±3,973","21,377","±2,579","501,856","±20,371","234,124","±14,764","350,173","±11,268","47,424","±3,957","295,465","±10,735","156,739","±9,223","59,872","±4,566","92,999","±6,001","94,235","±6,001","97,673","±7,420","30,593","±2,478","187,294","±10,053","198,384","±10,100","271,937","±10,737","155,738","±6,670","35,860","±4,205","149,866","±8,432","27,170","±3,166","43,714","±3,916","143,566","±8,121","22,562","±2,362","243,612","±11,255","70,797","±6,162","581,410","±23,387","241,457","±10,393","18,934","±2,508","309,331","±13,713","309,703","±8,731","182,825","±9,150","309,371","±11,537","36,378","±4,754","103,686","±6,465","25,397","±2,727","140,980","±9,160","691,327","±21,395","86,237","±6,919","11,149","±1,344","296,163","±11,097","397,238","±12,928","29,461","±3,345","131,701","±7,861","16,335","±2,133","166,946","±12,111","9,981,530","±85,150"
"        Two races including Some other race","6,354","±1,637","3,171","±1,450","45,251","±4,852","6,149","±1,913","375,682","±14,299","30,981","±3,713","28,025","±4,047","3,500","±1,309","3,583","±1,304","87,649","±9,010","36,148","±5,658","7,486","±1,921","4,921","±1,454","54,938","±5,770","17,634","±3,097","5,026","±1,329","8,380","±1,919","6,226","±1,681","9,547","±2,322","1,005","±775","19,864","±3,283","30,748","±4,250","26,374","±3,358","11,514","±2,310","3,785","±1,401","11,522","±2,421","1,003","±447","4,210","±1,316","25,019","±3,841","1,171","±676","53,981","±5,411","24,651","±4,308","142,861","±10,778","26,792","±3,913","373","±329","24,736","±3,689","16,036","±2,721","15,955","±2,690","41,016","±5,657","7,465","±2,266","11,651","±2,773","1,323","±676","12,602","±2,671","151,197","±11,061","12,108","±2,398","229","±231","32,653","±4,730","36,890","±4,803","1,372","±731","16,740","±2,831","1,724","±841","17,453","±2,808","1,509,221","±34,304"
"        Two races excluding Some other race, and three or more races","80,965","±6,196","60,114","±4,492","177,195","±10,284","58,071","±5,445","1,378,089","±26,810","162,350","±8,271","88,579","±6,347","24,941","±3,875","17,794","±2,019","414,207","±18,395","197,976","±13,098","342,687","±11,146","42,503","±3,504","240,527","±10,156","139,105","±9,216","54,846","±4,060","84,619","±5,809","88,009","±5,507","88,126","±6,904","29,588","±2,338","167,430","±9,823","167,636","±9,562","245,563","±10,177","144,224","±6,374","32,075","±3,920","138,344","±7,911","26,167","±3,110","39,504","±3,767","118,547","±6,923","21,391","±2,356","189,631","±10,144","46,146","±5,032","438,549","±18,484","214,665","±9,988","18,561","±2,426","284,595","±12,703","293,667","±8,761","166,870","±8,564","268,355","±10,233","28,913","±3,860","92,035","±6,220","24,074","±2,743","128,378","±8,572","540,130","±18,204","74,129","±6,879","10,920","±1,310","263,510","±10,907","360,348","±12,273","28,089","±3,373","114,961","±7,219","14,611","±2,056","149,493","±11,371","8,472,309","±75,809"
